rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
184,1528,"The Adventures of Bayou Billy","NES/Famicom",7,1337,1337,1337,50,0,"Beat 'em Up","Konami","Konami","1989-06-01"
185,1482,"Maniac Mansion","NES/Famicom",7,1335,1335,1335,36,0,"Point-and-Click Adventure","Realtime Associates","LucasArts | Lucasfilm","1990-09-18"
186,1667,"Dragon Quest III","NES/Famicom",7,1331,1331,1331,50,0,"","Chunsoft","Enix","1988-02-10"
187,1977,"Star Force","NES/Famicom",7,1328,1328,1328,33,0,"Shoot 'em Up","Tecmo","Koei | Tecmo","1985-06-25"
188,1846,"Ms. Pac-Man (Namco)","NES/Famicom",7,1327,1327,1327,15,0,"","Now Production","Namco","1993-11-01"
189,2208,"Holy Diver","NES/Famicom",7,1320,1320,1320,29,0,"2D Platforming","Irem","Irem","1989-04-01"
190,1868,"P.O.W.: Prisoners of War","NES/Famicom",7,1303,1303,1303,25,0,"Beat 'em Up","SNK","SNK","1989-06-30"
191,5527,"Final Fantasy II","NES/Famicom",7,1291,1291,1291,64,0,"Turn-Based RPG","Square","Squaresoft","1988-12-17"
192,2075,"Whomp 'Em","NES/Famicom",7,1287,1287,1287,32,0,"2D Platforming","Jaleco","Jaleco","1990-12-07"
193,1596,"The Bugs Bunny Birthday Blowout","NES/Famicom",7,1285,1285,1285,80,0,"2D Platforming","Kemco","Kemco","1990-08-03"
194,1601,"Cabal","NES/Famicom",7,1279,1279,1279,55,0,"Gallery Shooter","Rare","Milton Bradley","1990-01-01"
195,1700,"G.I. Joe: A Real American Hero","NES/Famicom",7,1279,1279,1279,49,0,"2D Platforming","KID","Taxan","1991-01-01"
196,1720,"The Goonies","NES/Famicom",7,1279,1279,1279,50,0,"2D Platforming","Konami","Konami","1986-02-01"
197,5553,"Final Fantasy III","NES/Famicom",7,1273,1273,1273,90,0,"","Square","Squaresoft","1990-04-27"
198,1498,"Rygar","NES/Famicom",7,1266,1266,1266,22,0,"2D Platforming, Metroidvania","Tecmo","Koei | Tecmo","1987-04-17"
199,1591,"Bram Stoker's Dracula","NES/Famicom",7,1259,1259,1259,91,0,"2D Platforming","Probe Entertainment","Sony Imagesoft","1993-09-01"
200,2078,"Willow","NES/Famicom",7,1259,1259,1259,59,0,"Action RPG","Capcom","Capcom","1989-12-01"
