rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
152,12712,"Cory in the House","Nintendo DS",18,220,220,220,32,0,"Action-Adventure","Handheld Games","Disney Interactive Studios","2008-04-15"
153,15614,"Mario Hoops 3-on-3","Nintendo DS",18,220,220,220,34,0,"","Nintendo, Square Enix","Nintendo","2006-07-27"
154,16155,"Digimon Story: Lost Evolution","Nintendo DS",18,218,218,218,118,0,"","BEC","Bandai Namco","2010-07-01"
155,3529,"Nanashi no Geemu","Nintendo DS",18,218,218,218,24,0,"Horror","Epics","Square Enix","2008-07-03"
156,20916,"101 in 1 Explosive Megamix","Nintendo DS",18,216,216,216,107,0,"","Nordcurrent","","2008-11-28"
157,15357,"LEGO Harry Potter: Years 1-4","Nintendo DS",18,215,215,215,30,0,"Action-Adventure","TT Fusion","Warner Bros. Interactive Entertainment","2010-06-29"
158,15737,"Yu-Gi-Oh! World Championship 2007","Nintendo DS",18,214,214,214,52,0,"Collectible Card Game","Konami","Konami","2007-03-20"
159,17087,"~Homebrew~ Sushi the Cat DS","Nintendo DS",18,211,211,211,10,0,"2D Platforming","N3TKaT, Kamui","N3TKaT, Kamui","2005-01-01"
160,20362,"Assassin's Creed: Altair's Chronicles","Nintendo DS",18,209,209,209,28,0,"Action-Adventure","Gameloft","","2008-02-05"
161,15356,"LEGO Pirates of the Caribbean: The Video Game","Nintendo DS",18,203,203,203,33,0,"Action-Adventure","TT Fusion","Disney Interactive Studios","2011-05-13"
162,17232,"Another Code: Two Memories","Nintendo DS",18,202,202,202,22,0,"Point-and-Click Adventure","Cing","Nintendo","2005-02-24"
163,16717,"Cooking Mama 3: Shop & Chop","Nintendo DS",18,198,198,198,39,0,"Cooking Simulation","Cooking Mama Limited","Majesco Entertainment","2009-10-20"
164,15352,"LEGO Indiana Jones: The Original Adventures","Nintendo DS",18,197,197,197,30,0,"Action-Adventure","TT Fusion","LucasArts | Lucasfilm","2008-06-17"
165,3140,"Izuna 2: The Unemployed Ninja Returns","Nintendo DS",18,195,195,195,40,0,"Roguelike","Success, Ninja Studio","Atlus","2007-11-29"
166,1741,"Space Invaders Extreme 2","Nintendo DS",18,193,193,193,97,0,"Shoot 'em Up","Taito","Square Enix","2009-03-26"
