rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
169,4092,"Shaman King: Master of Spirits 2","Game Boy Advance",5,666,666,666,55,0,"Metroidvania","KCEJ","Konami","2005-08-02"
170,6289,"Donald Duck Advance!","Game Boy Advance",5,657,657,657,30,0,"2D Platforming","Disney Interactive Studios","Ubisoft","2001-11-15"
171,5747,"The Lost Vikings","Game Boy Advance",5,653,653,653,28,0,"","Mass Media","Mass Media","2003-01-01"
172,5720,"LEGO Star Wars II: The Original Trilogy","Game Boy Advance",5,644,644,644,54,0,"Action-Adventure","Amaze Entertainment","LucasArts | Lucasfilm","2006-09-12"
173,9301,"Frogger's Adventures: Temple of the Frog","Game Boy Advance",5,638,638,638,26,0,"2.5D Platforming","Konami","Konami","2001-11-22"
174,6950,"Jet Grind Radio","Game Boy Advance",5,623,623,623,68,0,"2.5D Platforming, Extreme Sports - Inline Skating","Vicarious Visions","Sega, THQ","2003-06-26"
175,8038,"~Homebrew~ Sushi the Cat","Game Boy Advance",5,620,620,620,7,0,"2D Platforming","N3TKAT","N3TKAT","2007-11-12"
176,5029,"Tactics Ogre: The Knight of Lodis","Game Boy Advance",5,613,613,613,87,0,"Tactical RPG","Quest","Atlus","2002-05-07"
177,25306,"~Homebrew~ Neo Racing Genesis","Game Boy Advance",5,611,611,611,7,0,"Arcade Racing","Dan Prati","","2001-12-27"
178,749,"Classic NES Series: Zelda II: The Adventure of Link","Game Boy Advance",5,606,606,606,29,0,"Action RPG","Nintendo","Nintendo","2004-08-10"
179,7191,"The Lord of the Rings: The Return of the King","Game Boy Advance",5,595,595,595,57,0,"Action RPG","Griptonite Games","Electronic Arts","2003-11-05"
180,2190,"Yu-Gi-Oh! GX: Duel Academy","Game Boy Advance",5,595,595,595,41,0,"Collectible Card Game","Konami","Konami","2006-01-10"
181,16160,"~Hack~ Hypno's Lullaby","Game Boy Advance",5,593,593,593,8,0,"Turn-Based RPG","7G06","","2012-12-09"
